sample	D300422	D300428	D300437	D300443	D300453	D300458	D300464	D300465	D300474	D300478	D300480	D300484	D300495	D300497	D300499	D300503	D300509	D300512	D300514	D300515	D300517	D300521	D300523	D300526	D300529
L-Isoleucine	780547.004843001	1513331.03572636	1903696.48882114	2016733.81319274	498088.417877949	1225649.40975361	1372303.04635096	851069.227451459	7075675.52639378	1652442.13669657	4171149.4630928	2385281.75816569	747786.696849918	1148553.76352078	2140746.44066908	1001303.67152901	810229.812746511	1109454.52309417	3584202.71534177	1180163.27819229	3447726.04426046	2885370.94420555	1463776.71433066	4404205.91246458	1523312.03145023
L-Leucine	1603655.59739103	2885936.05469826	3824452.05983165	5094200.52337183	1606954.21563265	3627420.06436035	2713565.63456357	3085088.87979985	17505997.2679763	3781260.35149649	6693634.62127591	5594167.82829136	2057683.17806165	2430629.90614994	4344553.90529256	1804642.3380686	1462675.63270879	2304911.04106224	9404787.86866757	2646091.92847414	6273104.11151944	7724138.89630059	4254683.05008808	10976031.9167016	3101438.29483932
L-Aspartic Acid	1005058.8642132	761322.917644897	971768.201765695	1954659.7376698	647521.834969359	1381482.12129061	1958121.59220591	527487.486710054	1327979.30146094	1688896.58805782	807637.134648214	1434982.84525233	637805.728990336	797955.309557442	1687953.68786875	822080.655650599	420826.77250661	705707.317802773	1064627.93646547	1544765.75089033	917199.670890345	1689467.76257	951064.048979147	1254822.24499253	481365.615752152
L-Glutamine	1771454.26427527	2012631.21850405	4411529.42999696	2423525.84167635	1581252.12172164	4785194.16952418	2121663.49265467	1928151.18701727	2091710.14889406	4487310.611545	4314340.87904375	2774582.49327244	2650241.11580469	1275949.13581939	2562744.29237127	1595869.14455961	2368072.03654067	2007359.81734357	3448115.68622428	3049044.86297741	4836005.50118912	4063216.65975771	4540931.45628795	2897335.4961096	3523615.9929317
L-Lysine	10970890.9086898	10733052.2064489	8857100.49416717	12974873.1035337	10582409.0757282	9620910.09631155	9310833.28115798	7648311.15725266	9836003.24337051	12115123.4885565	10267686.255417	12864258.7317253	7587804.10342744	10472267.2406304	11428046.3093744	11908581.2865599	8458496.33526578	10670596.1898635	9078705.95413994	12390326.988426	12126568.982177	11941639.8878904	7480649.32474331	12189293.0714803	9095197.15103665
L-Methionine	242565.242146338	233608.548145041	442572.85376963	127122.900183494	211412.100163845	299583.710431188	300121.737308853	516751.605249447	354208.885096968	449735.090372218	415289.651633178	554914.139737895	300615.785626384	271654.698490455	183907.459659142	88180.8715169535	226423.381725878	344949.554034678	372558.214369412	108877.357898088	105221.193703615	628824.176109737	304552.534482081	373965.02181394	433754.940564701
L-Histidine	4525468.117995	2033926.72015983	5321997.30210937	3570063.18342411	2316102.61555469	2285500.48391235	3617492.07633915	2254002.6025628	1470687.91361005	2438913.00321729	3033100.41100714	3274419.082784	944387.492463253	1208463.33025644	1399225.99728665	1554722.19345636	2761240.46835575	3180941.87698502	1363518.78188752	1291594.17704219	2450148.99370532	2313838.5337266	1629015.34611861	2295184.62508437	3150232.79623692
L-Phenylalanine	716413.966982705	681458.30512943	1421902.03392616	14245490.2242886	1079236.07884678	1871747.41076342	1112565.44215972	1684092.9102333	13487627.1145673	5060518.38129713	1339175.85071551	4139621.78482747	753097.476398554	1361944.27807352	1623591.13827129	819601.662471136	608551.385326433	2386788.84815697	7882331.11051679	1233173.65460769	968064.798713094	13175244.2082315	1909468.07877767	16225612.8451383	926076.792379052
Pyridoxamine	249579.961647101	338494.39315047	496696.046154849	57918.3555456089	122901.502965179	803118.893497375	581684.80972335	285331.203553211	254202.685310238	571155.512062168	653165.194284023	180298.493944078	899374.541763319	563641.458207442	140385.460874228	682037.752338926	412759.381267434	440031.642903437	302901.709624092	118307.37503597	237162.375746882	398633.185919735	144281.443266327	644554.978924829	652172.438660954
Pyridoxine	2087486.42708662	3447622.42076495	3399821.27881595	1824748.209968	2625112.27570241	3288242.81473194	3399847.86114226	2727548.44742327	2737750.5766676	2011634.88211474	3251342.9846429	1932112.53599355	3972411.65871417	2779071.04253652	2071732.21951493	2853758.34907422	3099145.49998754	2922232.45211368	2120192.06799712	2559067.94717525	2737868.15116087	2432949.09442918	2551287.84566051	2531327.98806651	3930989.76303167
L-Arginine	8281958.35750022	6914113.68114786	9878629.67545339	12325874.7636285	5550689.5501145	7574636.19093601	7156602.74099851	6362504.52453016	8727182.25624892	10139930.796488	8146033.44955926	13496618.3452745	4885399.08654328	8594715.39744077	9121889.97323241	11306250.1036264	5262362.99384756	10495910.6585697	7789545.39357294	9212572.45898847	9796903.56441032	10983682.0334478	4689225.95517544	11203716.9908897	5466990.96836613
L-Tyrosine	814685.068191438	632785.722057302	978882.06366507	5099280.10167263	881282.863491913	1110661.51349336	799052.748349736	974864.39653066	4255809.69393704	3199054.36948259	945328.496618071	2544805.22503206	656204.241988148	1293202.31571859	1533389.56479911	1534082.74693483	428142.431672516	1961502.89105271	3189859.33885665	1154861.9086068	923467.435880421	5214644.21535083	1470215.37798913	4757633.96134022	573342.874455709
L-Tryptophan	753847.02845627	584057.223898694	966851.355606281	1470704.7827455	541107.197307822	737592.617557651	624959.315670022	726538.080354775	1431215.60654963	1002834.32710448	920573.975237931	874416.979500298	595405.465835309	539703.721834996	677719.530673236	527840.950359791	527565.273119213	660873.92568649	1082314.13478378	685302.366041993	899659.133867964	1389787.65261727	1200992.40749429	993144.959102352	1153875.91526452
Thiamine	679775.573716377	402106.992619301	660915.546479349	84382.0327563287	308916.200295837	1663451.04091786	59263.531251337	94751.0799717825	323857.374356171	1128123.68000419	496498.552120749	486403.015182218	440823.171232723	117566.91780349	16185.9371933174	26189.6968821212	381920.323266041	455796.482080954	609706.255053388	58423.3345337449	1018567.30812313	1040233.34586091	1112766.24904624	792366.579559075	550048.153944498
Riboflavin	796567.288807183	1911616.29848513	954093.955075701	40105.9366770885	279249.973629277	222255.738640534	1801727.28498662	1122286.01327185	300960.705086697	90078.2978650873	2153580.21882443	42020.6303769484	2449766.75018403	3328424.46250762	267237.429832104	2983463.31478259	2977830.27808862	1454164.74599828	374246.198690159	73485.5132668478	37468.7755028997	392645.991205423	24005.83573972	1047163.98324489	2031312.08920037
a-Tocopheryl acetate	5287150.41498248	5148739.58556668	3906639.99489844	6120117.697692	3492936.49381311	4509840.05037227	2620471.09414566	3272406.22609591	4429210.27572149	2229467.20171525	4846696.82917467	1679950.41152001	3379849.55806557	5530779.69658584	3165716.1058806	4783585.32316124	5397607.46489995	3654807.11515604	4582738.79343228	3914898.5412934	6035138.89816531	4951394.99073757	3098600.11993974	6485101.33444551	5651207.71469884
