sample	D300418	D300421	D300426	D300427	D300440	D300447	D300461	D300466	D300467	D300469	D300483	D300485	D300488	D300489	D300490	D300491	D300493	D300496	D300505	D300508	D300510	D300511	D300516	D300520	D300524
Nicotinic acid	664168.607181333	677936.14532037	592074.902301281	474383.982696421	281527.812349869	302655.862604763	375931.176628715	426977.764980407	192111.315911891	759597.431797876	983908.895315458	527193.328956075	254137.871974422	447369.318022064	469039.615509607	291775.536494454	702926.430415223	894390.505984351	677462.519699909	439052.220654075	1212537.38249851	686233.902949216	679719.736623254	522041.851373789	248778.956326492
L-Isoleucine	279889.335299053	945042.961655232	416118.931042324	418423.086251241	1251833.32318776	947539.254674793	582341.365596225	1215066.44642279	255464.488260705	1672793.97058337	1679492.2136061	1167300.99048807	3544028.31484457	2115503.60639654	298397.637086242	1664003.47269051	3128692.3157166	398374.196417206	2960828.45823111	1336695.99197471	585042.353898826	2009155.73283537	909073.51245175	1434708.97072092	762463.74556853
L-Leucine	2730554.69631035	1641011.40105695	1486967.50618184	5109987.30223558	4494974.93836597	1769693.31519962	1309828.67168213	2756111.4383924	1929995.70705302	3260478.54210511	3246289.17631634	3260256.06358857	11412940.217081	4639337.7683086	2578120.93392536	4189342.86380882	7408303.32965815	3368673.97463099	8372038.82435484	2652195.1065497	1389850.47675822	5598202.82877713	1607938.39322411	4051846.46280059	1107780.86135568
L-Aspartic Acid	579965.540376476	466091.031581266	920048.288727338	690798.064903636	736739.351256183	771148.328998793	1107785.17611349	594169.183875318	463720.695267809	1145907.4374699	1095803.71548717	690048.956354395	846429.007445318	1010656.55587088	861621.070596289	912309.211088197	1798951.99400655	768397.578235855	1453514.43476746	1334918.48690918	512413.88265812	1103257.2701098	598512.78034476	958569.090695624	875043.607640057
L-Glutamine	3124975.50600726	2043721.78411969	2214284.54669907	5191532.22656337	5022086.28037474	3183535.0979939	1989845.92152973	1289146.96897271	3192489.57284524	2380836.77323979	4046020.17537444	4583481.83542189	2814809.89332328	4607026.10758045	2661899.98593064	4731847.64376912	3524195.07536314	2197337.42486797	4911478.1329123	2521346.48738621	1460965.62404458	2366536.80772696	2573153.82949376	2121878.39112969	1993521.06009176
L-Lysine	8928741.69003512	7158019.39997733	7169050.0113292	8354744.65499438	7087062.14280449	9006571.91309375	9653191.38336071	8949321.31142182	7484192.73327397	9538323.41470665	7515972.14806658	6990475.44661512	7481205.91108049	7137298.84794426	9944967.42151654	7572725.46620813	8997122.50904832	7828176.21155707	6316917.2251501	10536553.916272	7677461.56769097	10384546.4217288	8324169.06554577	10138975.1701605	12056867.477059
L-Methionine	358893.933618079	255298.671483289	304892.823336987	264242.856369474	148877.758413373	247509.770775659	150064.233242164	166114.099470919	197415.459380452	183643.699376869	260403.001200948	388342.49088006	245642.964976561	425745.967917384	157951.128024143	356764.858003546	705883.751410953	358257.760690716	1084067.11003811	244766.843370771	256895.949543423	529186.290000908	191646.837338651	504863.11784902	169045.996048464
L-Histidine	1057888.27271522	2125533.96878918	2933341.74873409	1163372.60271581	1046109.41857046	1588659.79081663	2193635.92114808	2193651.07045298	756319.960365401	778742.568339899	2479508.60796649	1837832.23825312	890392.01063784	1057207.85062152	815972.799562368	1153987.96646739	4293749.97462522	1218964.4166367	1548295.39584059	1498989.03551748	2283808.69348441	1512668.31071538	2460825.34478016	1287748.52862478	815474.126088151
L-Phenylalanine	1066576.88612189	528435.039831676	1150153.2691087	2019043.54963826	2197242.94048869	1049883.76600229	716831.671609858	646761.506881542	1225876.35769487	1433684.91587871	835750.543788883	1691630.75364624	7132264.91681859	3600457.7042684	2071580.82348585	6492338.74270179	4234876.1577415	2101855.67446477	3969178.65151784	13417966.5249991	525748.264666951	2377164.47200524	577127.705671266	1744189.10133197	606643.188351384
Pyridoxamine	646390.725258399	345111.695915348	288210.104716203	813584.137124795	101255.115137699	169487.489981909	110576.745843341	344975.118337439	629392.895871739	31639.6249885922	475000.774041387	346959.037399082	471953.98510528	445729.157140608	510898.056802616	614285.392594236	495066.003216915	487375.06708566	1085596.8140436	321736.32077964	461392.293397824	227346.762436848	404782.078017688	448234.519184923	178799.540444723
Pyridoxine	3974828.69197762	3317341.89509854	3482832.06339407	4314141.60088896	3010441.99159106	3880862.1873147	3173086.27042569	3989113.87613998	4191815.30690914	1321875.13355728	2306119.39485081	3256351.91185973	3145205.08357929	3267884.64600519	3352053.16086574	3339384.24707639	2713607.58740909	3362459.17728703	2807323.00466627	2923985.30450849	2729609.64622016	2735859.07873496	3266604.9668769	2826920.36279179	2798480.9348707
L-Arginine	6445564.43508063	4422529.02984121	4035548.7897233	7898685.27792605	5555579.21070519	5218184.32118835	5041920.15234666	5568490.32857658	5650550.96231286	8584222.43990046	6794638.71972089	5245183.54978157	5732182.025824	7165322.35630783	8722564.51356617	9494966.63632845	10032871.817692	8000486.22106428	9116631.45502499	10124691.2673049	3748090.81706083	10532432.1297785	4310493.01149305	8254736.4511971	9331852.12768122
L-Tyrosine	737906.120485865	407624.366220221	792102.599615176	828704.902526643	931320.661194342	723382.138613788	891119.822729777	452328.508924273	692634.919840204	1341896.48590345	605079.275620129	1013797.14472866	1709515.04061512	1915255.03443344	1439298.82546443	2946196.44209949	2308551.44272849	1208050.32451239	1783028.20587097	4441167.00326949	328951.773787001	1910604.4356272	392844.86918001	1125861.83482833	1143189.70431666
L-Tryptophan	724290.356057351	516201.872562084	553500.891693984	943710.799643757	889525.280889141	521827.675501919	444983.34558818	827324.784042501	1045592.63707388	710300.823327402	824952.992775286	873599.967817427	616716.164661172	1061073.46982657	679165.313314196	1029570.58431557	1648267.29678674	1102213.26361565	1458030.17137279	1145962.74223713	483945.584089889	1179691.31079989	387045.586719337	1151889.72812671	795969.034604715
Thiamine	397258.466691091	333257.008480889	312300.518043791	865189.656961373	407567.725498382	278668.520431184	251141.764754415	271272.119813972	287922.367262637	52817.8418404115	1242454.46197879	743807.823767373	268766.507210829	856418.334277792	626680.389208536	633621.061267495	203810.65674581	196521.598671951	512785.702184162	245029.177042984	385192.433851038	568414.410524744	365657.229134487	43536.2410848922	190224.203448771
Riboflavin	1796730.5747134	1961506.32741332	1691703.00532091	288440.751532371	35162.0331034839	1117408.98719687	473694.114317037	641825.723636761	1855641.97603446	25635.2190787053	146030.579954823	1964507.0969427	1470443.73067835	1507388.99477286	999186.890707633	751294.200168944	980401.309414324	1885829.49629072	1518622.38754198	1983197.06144123	1621812.1821475	684919.593479009	1822311.4339503	1946786.13093292	932884.679987542
a-Tocopheryl acetate	4357249.06023359	6049713.01967574	6370224.634559	4278424.22178392	2615839.85447542	7336723.81447351	5907063.70426269	6054216.32332602	8367237.84225241	1530631.52413023	2404956.27246793	4689642.2724789	6421573.82087101	4636479.73184032	6052026.98130248	3039227.69549012	3590690.918867	3758094.15004103	3252277.1347855	7037337.51425875	3950892.80741863	2940190.13557687	4245761.76665748	6837429.94932361	8404298.83821655
