,D300521,D300514,D300443,D300526,D300474,D300511,D300489,D300491,D300488,D300508,D300502,D300438,D300448,D300518,D300500,D300522,D300429,D300472,D300471,D300431,D300463,D300452
L-Leucine,1456788.21324585,2140346.21113651,1816502.91390632,2281088.13360012,1580513.39986819,1641011.40105695,2756111.4383924,3246289.17631634,1389850.47675822,1607938.39322411,1462675.63270879,2885936.05469826,6273104.11151944,6693634.62127591,3101438.29483932,19261713.2690373,9153347.58554029,2528114.38188709,2032140.93634104,2266268.96635112,2569711.24732522,1551616.12878331
L-Glutamic acid,3819263.0046871,3074488.82028051,3664198.99512217,2172640.03345649,2463368.86267713,3384924.72778087,2155364.12184883,3141929.60955853,3379609.05854575,4782826.71152587,5138376.45795444,3327704.06417168,3904586.43473892,5177221.59786423,3523988.08099889,2287696.48645996,2582801.39262274,3204194.59192382,3302417.02805232,2813389.16114762,2655434.23758149,2455868.69102626
L-Glutamine,981553.949570609,1061660.22008,755739.02640458,1756387.70453029,696247.698738738,2043721.78411969,1289146.96897271,4046020.17537444,1460965.62404458,2573153.82949376,2368072.03654067,2012631.21850405,4836005.50118912,4314340.87904375,3523615.9929317,4335321.87858008,3690118.88350518,2594471.97911278,2854240.37730095,2224671.58931255,4907294.05445122,3000452.17772532
L-Histidine,907349.415965754,1246193.70437996,1448084.78853015,1204375.59771752,1024546.60853901,2125533.96878918,2193651.07045298,2479508.60796649,2283808.69348441,2460825.34478016,2761240.46835575,2033926.72015983,2450148.99370532,3033100.41100714,3150232.79623692,929033.709911488,941427.799017327,437285.903205094,668741.07557626,759793.847812488,1092978.36770028,860444.959111426
L-Lysine,7711730.7177928,6092256.48039606,7088876.36379133,6732488.68750725,5577929.67943132,7158019.39997733,8949321.31142182,7515972.14806658,7677461.56769097,8324169.06554577,8458496.33526578,10733052.2064489,12126568.982177,10267686.255417,9095197.15103665,7039952.98119514,9535028.13843947,8060503.06848241,7922343.25166135,11376053.9497055,6815216.32156269,7033395.64092404
L-Methionine,124992.966625289,269892.576002705,211362.288634827,340135.400902577,333145.826055841,255298.671483289,166114.099470919,260403.001200948,256895.949543423,191646.837338651,226423.381725878,233608.548145041,105221.193703615,415289.651633178,433754.940564701,658177.663928995,827338.529498647,307520.609856946,368274.506807276,161097.584515729,289656.443631112,262443.284643278
L-Proline,20871696.9053783,31480792.2552411,18779216.8076187,22783080.0337712,21395121.0798878,16908091.3995128,12486153.1050461,14837057.024909,16461339.4196529,14571991.6928789,16690967.8735789,13406200.2374728,15675495.967069,18817815.9388492,16521306.2212459,30786392.0364292,49080867.7588116,61419402.2889256,54527491.8937863,16511455.1473719,22301685.723994,34379107.7953695
L-Threonine,625919.87565746,754280.520699464,659203.078504068,869393.230748368,676859.44142117,530872.5718514,1144614.96619171,1447679.73180435,496543.163527181,506802.549338155,614121.751190649,968291.676720186,1706118.80482168,1399034.79332084,1084855.3701308,1775329.41227897,1952140.55860026,1801088.71283954,952953.772039698,586347.48069909,1171925.505477,807365.540345886
Thiamine,269355.477639247,548102.889271037,332742.463628482,1792615.32924424,786082.217834244,333257.008480889,271272.119813972,1242454.46197879,385192.433851038,365657.229134487,381920.323266041,402106.992619301,1018567.30812313,496498.552120749,550048.153944498,6342834.24454076,4577377.6229992,803928.29370102,1115781.46463935,704475.40236462,713251.31386297,437365.305516008
Adenine,385804.386149091,430605.609853712,683493.840411676,554299.510076766,271684.631063928,1076427.24262118,2703428.28224125,2230256.00504919,1724819.5449541,1618105.00975096,2733761.5502132,2480441.35862252,5370647.25313628,1588447.73628628,2550165.87633975,730935.677330417,2233088.80703631,910319.614557797,681720.090014333,332391.182203954,577711.30787195,823355.059564421
Guanosine,111738.623477797,225340.843443295,119798.986914573,255607.542343105,149424.4519421,138158.024632875,190459.460074064,445689.558782307,59145.4475165918,69720.120478569,113314.780102619,92843.7050258472,421423.95564074,269646.442382713,212910.31160987,110032.977234091,63772.4302260328,45702.1946257196,37921.528392049,129476.273271268,166498.651990938,59848.0063731687
L-Valine,1367248.62188526,1395437.74814255,1465201.33279272,1728882.77567334,1954085.7630102,1789694.51895334,2585711.01057862,4046409.01568536,2465371.28501079,2939360.26213756,1974765.4135151,2458323.66726031,5807263.82458739,5263210.58899694,3223522.59200952,17021659.269514,3598401.43300449,1044243.70176604,1386225.30957274,2110583.28445651,2780372.27416743,1721459.30554308
L-Alanine,23576.9921264786,28707.3249696937,21802.1226647053,28971.8676237773,18376.3622391263,34946.6193020637,34747.9487887389,66772.6615528395,19311.3313724555,19112.7325724578,17438.4239166084,20537.4702793975,56114.6125817295,37757.9166972901,50771.0010902399,66329.3392458584,39632.8445362968,21800.2603858887,11659.3317608359,18196.9691815351,33014.4028365609,8748.64339022802
L-Asparagine,19195.7724188752,20806.7843180977,27768.7479047153,27343.0337577049,29595.2226053134,42407.5366733871,72925.4935240999,56256.8214440294,34686.3965528695,39923.5992712477,70015.9292584687,71441.7611023157,106991.855519265,93846.1383520565,90921.760957879,5957.40979346533,6911.04894590637,4382.18246189432,5413.20785287218,9066.72707451946,24799.3981715286,19845.0559380093
L-Isoleucine,893429.376786051,1497239.19413596,1161458.52629911,1392064.80954019,1339489.23190188,945042.961655232,1215066.44642279,1679492.2136061,585042.353898826,909073.51245175,810229.812746511,1513331.03572636,3447726.04426046,4171149.4630928,1523312.03145023,7935726.49185266,3290844.17099851,1136054.42070909,315676.849571492,367241.443262067,911458.398493766,550869.280284541
L-Serine,134861.900304464,409838.598425072,254338.840838563,734691.830820775,399733.467040861,279523.764607492,222980.315735968,1111682.29788231,70379.4350557998,162726.203854242,93180.0038547216,103771.960553636,354784.599344428,272235.268840785,232218.065767815,333276.945045427,765089.54428659,196330.989153318,173786.7262014,245467.260197022,448100.01630006,120833.614064839
Lactic acid,4611573.66302357,1143633.70684343,1796054.36520746,1987835.16586744,1342252.39636546,4052564.60934958,2039929.3894641,7679853.25955007,489505.800420218,670142.21429531,400639.366035378,1016854.33540289,2029029.44232161,1516561.17560147,4795649.68741837,39600084.6154318,28067327.7592164,16232265.6311989,438557.136217759,5099613.22768834,5189663.00556902,389927.792605707
Sulfoacetic acid,1464550.38564042,964441.331563012,1321163.83530016,1034373.79184451,1320217.09906218,1687205.60414401,1281821.3981134,1037838.27987212,1309968.65969203,1529706.94803353,1541406.19926932,1800073.80286803,1208037.85663887,1369475.94323506,1377375.64761887,574518.745798416,623578.712994774,1206051.19804944,1149750.47358427,1129830.98547795,1031925.07107443,891178.362073738
