sequence_id	D300418.lib1	D300419.lib1	D300420.lib1	D300421.lib1	D300422.lib1	D300423.lib1	D300424.lib1	D300425.lib1	D300426.lib1	D300427.lib1	D300428.lib1	D300429.lib1	D300430.lib1	D300431.lib1	D300432.lib1	D300433.lib1	D300434.lib1	D300435.lib1	D300436.lib1	D300437.lib1	D300438.lib1	D300439.lib1	D300440.lib1	D300441.lib1	D300442.lib1	D300443.lib1	D300444.lib1	D300445.lib1	D300446.lib1	D300447.lib1	D300448.lib1	D300449.lib1	D300450.lib1	D300451.lib1	D300452.lib1	D300453.lib1	D300454.lib1	D300455.lib1	D300456.lib1	D300457.lib1	D300458.lib1	D300459.lib1	D300460.lib1	D300461.lib1	D300462.lib1	D300463.lib1	D300464.lib1	D300465.lib1	D300466.lib1	D300467.lib1	D300468.lib1	D300469.lib1	D300470.lib1	D300471.lib1	D300472.lib1	D300473.lib1	D300474.lib1	D300475.lib1	D300476.lib1	D300477.lib1	D300478.lib1	D300479.lib1	D300480.lib1	D300481.lib1	D300482.lib1	D300483.lib1	D300484.lib1	D300485.lib1	D300486.lib1	D300487.lib1	D300488.lib1	D300489.lib1	D300490.lib1	D300491.lib1	D300492.lib1	D300493.lib1	D300494.lib1	D300495.lib1	D300496.lib1	D300497.lib1	D300498.lib1	D300499.lib1	D300500.lib1	D300501.lib1	D300502.lib1	D300503.lib1	D300504.lib1	D300505.lib1	D300506.lib1	D300507.lib1	D300508.lib1	D300509.lib1	D300510.lib1	D300511.lib1	D300512.lib1	D300513.lib1	D300514.lib1	D300515.lib1	D300516.lib1	D300517.lib1	D300518.lib1	D300519.lib1	D300520.lib1	D300521.lib1	D300522.lib1	D300523.lib1	D300524.lib1	D300525.lib1	D300526.lib1	D300527.lib1	D300528.lib1	D300529.lib1	D300530.lib1	D300531.lib1
D300444:bin_000010	3111788	3127540	2889627	3066120	3048608	3176534	3063308	3046809	3192970	2962575	2978784	3153207	2808541	3149358	3185413	2843485	2861840	3196136	2873468	3090934	3169950	3139827	3146266	3188565	2874855	2950631	3197166	2717815	3127277	3152922	3129386	3129278	3070221	3047392	3154217	3169588	2905767	2869038	3181738	3166812	3035495	3116779	2866183	3133281	2794274	3148618	2934860	3169114	3066317	3130782	1203265	2874249	2860432	3125012	3056656	3145119	3029991	3139222	2952749	2875636	2988607	2859511	2882198	3186575	3188630	2934715	2936008	3050181	3064270	3059526	2861657	3059724	3048318	3086131	3129567	2831044	3195208	3084857	3072654	2927919	306027	2918778	3055737	3195325	3095483	2903012	3086616	2812903	3113974	2844997	3017689	2978095	3019410	3069773	2927300	2850076	2917776	2870895	3084252	2948733	3156419	3135889	2883294	2995353	3075507	3099431	2849443	1596672	2890312	3072895	3004517	3062614	150	0
D300452:bin_000016	2389291	2380003	2706382	2898311	2626754	2429487	2595729	2562378	2679475	2325535	2124530	3667466	2556119	4555251	87032	2816930	2717659	2559451	2938747	2505992	4598767	2530130	2642550	2575085	2895639	3009867	93725	2813920	2533313	2629571	4596896	2589029	2655458	2884936	4603865	2463068	2861454	2726850	2721698	2549328	2305083	2723620	2793683	2649811	2855856	4598794	3192330	2485646	2785031	2388819	2870809	2753243	2982410	2732168	2996421	2391063	4574452	2457246	2665993	2919908	2436053	2691636	2916157	2682610	85057	2874744	2257795	2615335	2370969	2674610	3154489	4377688	2329577	2771453	2294591	3172549	2454627	2332754	2195644	2856098	2809902	3793682	4370707	2387754	4586709	3490526	2410071	2685043	2534339	2717374	4583439	2395703	2721825	4335727	2394218	2715119	3872458	4042111	2516043	2001773	4591023	2375263	2791622	2721608	4515362	2646403	2770019	2918030	4408599	2226338	2320069	2672176	900	150
D300458:bin_000001	1946229	2515	19641	34530	1633579	3238	3696	3183	1629701	1943895	1615832	25629	3278	18078	3000	18266	20990	2792	20164	1633884	30825	1946152	1621669	3097	22317	39957	2642	2332	2361	1629078	22536	2669	2847	36120	22452	1637610	34849	25457	3565	2624	1946654	22480	24873	1627980	9377	18137	43800	1633684	35298	1945936	32633	37640	20723	19640	27461	1944340	44731	1940137	20073	2680	1945580	3222	1563883	18700	2497	33742	1945154	1628461	1931620	32692	31616	25847	1943541	25842	2790	21656	2932	1944104	1944837	61506	32672	25791	25964	2398	24864	19219	1943066	16242	1933043	24075	12299	1623947	34008	23425	1941189	18890	44033	48427	34780	1602770	23426	1933943	28789	44108	20227	1635850	23027	32997	42259	1934713	1935973	882426	600	316
D300462:bin_000001	35167	278	2819978	2801348	1640	502	1474	1285	3922	35145	2818886	36588	2816974	36183	0	8661	9538	339	1498	9271	36341	35294	797	486	9564	36335	218	8823	844	4130	36101	2296	300	2821056	0	8568	2797859	9243	1198	329	35842	2821118	9410	6242	2821409	1050	8801	7842	2811738	34394	2821238	9059	2967	725	36217	591	37268	36007	2820813	3137	34722	5323	2820595	9172	198	2818032	33484	8901	35354	2821191	3013	37133	35238	35334	1044	8275	202	34714	34562	8715	2817199	8892	35756	473	36558	8519	35559	8183	31148	8436	36696	2820010	2805081	36201	35560	8593	36209	3033	2821163	2806715	36355	35384	8619	35608	12069	2265	8536	2801679	34660	35154	156	2819075	0	150
D300472:bin_000003	187761	1338	99322	183661	1367807	1552	1452	1231	67211	103337	255966	2781647	1721	2781455	476	81232	109755	1739	85407	1018745	2789812	190352	48007	1960	147025	2682105	300	2873	1337	60967	2787873	1587	1626	264805	2783558	2050940	238864	167098	2566	804	256690	163580	163521	75077	38026	2781461	194852	2025828	354695	158719	222591	147768	131541	2777215	2789931	121542	2755770	144178	102261	2137	175773	2552	261720	2409	1369	196098	188796	58581	130114	175691	2787803	2787096	125640	2784088	1289	113273	1835	151661	127324	1841951	238473	107742	2784936	306	2779948	56843	122336	66168	124190	140695	2520717	266422	204186	2789452	172863	94407	2756984	1328571	235452	221234	2787814	127680	126691	2728360	2783930	2022627	103268	186539	2762572	115837	173654	201943	0	0
D300474:bin_000012	323512	439738	45219	2344346	1880346	56337	184610	221949	753641	201916	2207505	136492	31017	62975	37912	65287	64366	107088	69271	1920391	2757716	360326	93971	138380	67532	2977778	26401	52581	509531	1161896	2701235	440417	175380	76158	67302	1038574	71184	66533	127349	68545	187030	68495	65899	1010137	40399	90302	104873	713364	81099	467273	66131	94035	66124	113540	137958	209812	2986795	508355	77827	49725	182332	56441	2510870	254113	38772	87188	206584	322688	465763	65006	2836316	2953052	377722	2931071	155314	112715	127231	1400084	288459	117653	69649	111223	1568579	62264	2633996	121841	278969	64869	362298	68703	2970791	2225176	2047931	2869111	1166464	65283	2938149	103985	81799	1568764	2715280	444305	96241	2937555	136293	1321882	89523	73049	2841066	141368	100243	1114673	0	0
D300475:bin_000015	971507	35014	33132	46745	1189221	23152	37813	37849	41121	1212517	37899	61597	24808	60268	19066	36303	60474	39317	37296	1624816	66696	942611	38595	38724	42928	65928	18973	39783	35323	42971	66101	35321	37673	60670	60994	65682	54044	52279	39545	26245	1243405	43621	61065	41563	31843	59518	79590	76950	58766	1786864	31365	56612	38222	59476	61706	1962641	68578	1971072	58077	35771	1049299	38199	59345	39349	19741	60954	1093180	60880	1577522	33017	66519	67772	271099	66194	34228	53770	37288	1932860	327716	76065	36314	71473	63722	14940	63933	72845	1507170	49544	1912374	51156	64478	61909	60705	63978	535431	57295	62097	74130	66357	55849	64878	1962074	65612	71001	58275	428768	56012	32658	66702	1901854	79912	60785	0	0
D300479:bin_000001	1611435	346287	2674	2397	1181670	1494030	1546201	996609	1674426	1391099	3336	275913	3707	1694380	1851429	682505	995981	794223	1758467	692528	1409426	1612315	1019482	1382129	1768358	444613	1877176	1623556	31940	1252447	1357788	22831	1130093	2796	549649	1325590	1922	320305	904074	1467088	1269657	3104	206847	1795149	2912	1432006	1542485	932125	3914	1516018	2819	1646907	1033749	90302	473628	1264291	1375950	1503461	2406	327052	1123307	1942145	2975	1228705	1878604	4489	1550874	749343	436855	3113	1685679	1070439	1583339	844279	26070	1265087	1729725	1530254	1401039	168301	2771	830816	692972	1834120	1083336	109916	71235	498399	665697	991077	1062186	4315	2989	213412	393714	649280	977512	792369	3502	2727	514825	1539804	756191	1610980	420127	1269378	141594	2638	398315	844848	340873	2521	0	0
D300479:bin_000005	989791	2973	3102	5457	109019	3486	74627	69124	6736	51466	5016	2570213	1463	2551640	3022	3167361	3473057	76315	3435734	86385	3451282	49473	6557	3594	3459913	196604	3394	76745	3172	56285	1974084	3344	59482	7248	2458	134831	4612	3472852	41959	3592	47678	4136	3441129	7304	2745	3209	3264708	141238	6782	164039	6608	3076533	3321182	202275	2170172	7349	449102	119681	3657	3460414	106931	3494643	19271	94705	4158	6358	573083	79470	5388	3378	328689	777676	72925	1458009	2175	2498643	3898	248567	327633	1701213	3806	1900440	2466647	3388	664771	2513696	40751	3064411	39657	3394389	723373	35889	4351	2355675	41848	3285996	125998	2567687	7419	27523	1862456	35572	2637269	840229	2853705	174589	1951430	2976	557801	25734	6253	29935	0	0
D300481:bin_000002	442054	76405	83222	2913865	2940560	2917616	2938061	2940721	2946623	352669	2919294	2927693	55658	2918899	2898433	2921806	2930242	2943426	2922815	2936551	2924062	706563	2943120	2941673	2917316	2694104	2900071	2906835	84667	2943382	2905792	79017	2938786	2913497	2768756	2941423	2914442	2909013	2942385	2929902	359428	2911549	2924009	2946741	77426	2925258	2778915	2944657	2910999	410181	2911266	2873724	2924706	2728836	1942440	499044	2867614	589127	2912570	2902486	408110	2905652	2920236	2949396	2903403	2909551	345881	2945319	329371	2910699	2927301	2937293	434109	2599661	56398	2351489	2939948	423786	413669	2911663	2912434	2903455	2740992	481023	2826728	2851539	517238	1596685	592493	2914510	2922892	2928475	2912610	2474601	423630	2930372	2286241	2896801	2918186	2900004	2864011	465905	2638067	2889827	119456	2940443	2728263	2915231	2914284	336458	394159	2892015	150	0
D300482:bin_000009	172169	65874	19868	119728	1942391	144140	2937265	2946203	1999883	97174	135231	102480	15465	71078	1600853	80294	123520	3334577	82262	2690693	223240	154326	2072655	3326519	113802	179557	354335	51816	119206	1437696	154622	83171	3029227	39599	88484	2035409	29664	124339	3060843	1998935	139734	28717	128793	3222757	21639	120115	155250	2424713	88942	151833	30582	156032	85920	106674	111534	113200	182044	106849	43595	47114	135112	59038	899171	3250919	3335442	107983	159075	1834102	88148	26846	126929	174190	246881	187099	53859	154640	3327897	109981	161181	176672	33788	148153	163938	3251751	180597	169983	110684	116892	92468	120630	187843	147312	102115	155188	176453	106733	113075	143085	82145	489669	145040	114924	139836	182188	129551	1897745	141991	34846	216819	98177	79174	117559	0	0
D300491:bin_000003	454019	504	766	483	13726	0	150	4081	614	35704	43147	6003	804	6220	150	6787	6109	1519	701	1273142	31448	6841	0	715	4572	1679880	243	819	1727	0	46537	387	428	150	1265	577	105	1244	516	0	96368	417	6239	422	951	7686	6876	0	1776	26220	488	7160	1172	779	8010	497	1680141	6203	68253	1036	85649	910	28160	150	0	1738	49810	43736	229	523	158016	1679121	18613	1680524	300	6778	580	91674	13446	7066	351	15892	1679801	0	17864	6742	7004	11886	1125	6762	1680267	16212	355	85767	65072	6828	1666364	6521	690	15335	14030	5219	7264	1680331	7724	56627	6741	894	553247	1194	377	13138	0	0
D300492:bin_000003	2685064	3314134	3239865	3288101	3301529	3246539	3189258	3284169	3309598	236804	3286880	3310032	3057148	3305866	3202547	2346603	3311308	3306787	3251964	3266804	3312262	3013377	3308059	3306838	3251771	3307068	3201747	3253460	3313719	3306937	3310553	3313734	3304696	3285141	3304537	3311258	2953838	3312101	3307770	3257153	2468989	3245661	3244799	3311733	3226339	3298177	3016029	3311696	3287588	3201265	3282854	3311110	2052587	3260210	3265210	3304746	3311349	792952	2986980	3160084	2366691	3244565	1272769	3308743	3210165	3284927	1358887	3307844	3200403	3238894	3307924	3309767	3273103	3311255	3314898	3309751	3304923	324420	3307377	3309207	764192	3233026	3309792	3222586	3310607	3073511	2564002	2319699	724362	3307824	3310778	3283765	3283267	3309831	1246012	3312064	3306998	1195571	3289101	3276195	3310475	3313657	3312179	3309644	3302242	2974128	3310958	3284541	3310747	678882	3309368	1893182	300	300
D300493:bin_000002	29615	7139	24541	33827	21514	10231	11807	14121	15092	26251	30278	17649	16884	11074	6132	22155	23521	19215	22707	24912	23917	19083	12285	12175	22471	27567	5969	14860	9292	15340	26241	9891	12778	27843	16831	16549	26558	23929	12024	10382	34959	25458	24783	13980	21289	11749	2042251	15769	33610	36465	25794	2042281	21950	18291	19883	23602	35773	26828	24524	14649	35774	15228	40523	15117	9123	34167	35557	19545	17866	24448	35139	28559	33873	24605	9964	2042668	11945	35433	34424	2042301	26995	2041823	23030	7493	23422	2040953	16783	2039455	21143	24243	29371	38313	31264	26778	37760	24187	30709	2040350	32499	38989	25571	22952	2042026	30189	17441	20041	2041779	26559	34656	17289	17154	32488	0	0
D300499:bin_000015	124148	20074	41667	122516	107121	130313	102095	111522	128644	90584	3402553	133914	37835	79584	94828	111701	133276	118670	121359	107969	157708	135045	152034	149687	158734	131890	79527	31793	20932	136327	144770	21295	128201	98361	74247	117655	95807	137614	109048	88049	192258	82284	126613	129753	77738	88018	4058833	143157	3226004	148797	39053	4047205	125152	117190	121179	124999	134190	140788	51820	108709	131182	34874	150192	100212	84888	110343	111706	112738	88782	73571	86654	158570	122752	149538	22302	4044266	145446	135120	125579	4053107	58841	4064358	135105	99634	140079	4059495	113463	4032060	127526	116242	125492	2403099	110232	134244	133695	117510	108582	4054549	148417	1640430	144429	120227	4051218	144169	130408	132341	4043829	67085	126471	118143	84257	3408203	91	0
D300500:bin_000011	241192	48312	9603	29200	21114	10419	18841	19279	21378	84702	28839	69436	13780	34750	5791	12200	29279	20955	15092	21131	1687216	93672	21218	20607	10873	1656217	5370	11393	57851	20534	1687115	56864	19713	27517	1643931	21248	25700	28974	20406	11412	180904	17821	29285	20885	9830	1665193	33909	21882	31343	248315	25556	30978	12595	1672163	1681850	68878	1684859	291726	22191	11182	264313	12766	33029	19535	9174	30138	243088	21143	54878	13542	1685920	1608381	281018	1684872	19092	30240	21250	88565	293137	34221	24401	35560	1689219	5234	1680582	31405	80971	26444	64719	29070	1684896	30983	23667	1684520	361241	28839	1682888	32324	30303	26952	1685117	87852	57204	1683504	1681887	22251	32180	24461	1686693	48850	55694	28064	150	126
D300506:bin_000004	2556755	288022	2509264	2528453	2535154	2536017	2534832	2533090	2538507	2535779	299098	2377764	2496626	348116	2404476	2500912	2537345	2536825	2512350	2532376	2513081	2561463	2537939	2537937	2344351	1902282	2522008	264823	2529406	2535590	1053614	2445849	2535319	2543379	485847	2536660	2542300	2540212	2536334	2535476	2556594	2541279	2539244	2537964	2507978	2503372	644540	2537749	2531614	2559509	2465911	2538217	2512638	2163285	2306855	2560498	784219	2561051	2514584	76578	2555033	156223	749336	2537285	2528977	2542933	2463485	2536856	2558485	2513824	2523466	2544499	2558034	2494152	28037	268119	2537165	2552642	2555641	1006151	2531203	472645	2504595	2531683	2439289	720079	2560064	2521143	2562033	2515587	861783	2529674	2518681	2539239	2554505	2514728	669686	446535	2544494	768106	1343503	2559931	2526695	688788	1494506	2098237	2518460	2486123	1089039	2558659	2555866	2520228	300	753
D300509:bin_000001	268434	15887	22279	2432697	294895	1037	11270	606084	63971	157015	489923	1787276	20188	52118	2614	22014	20121	18047	18901	250164	2120380	124795	9500	16335	19760	2126715	1728	23065	19270	259313	2124327	19618	54668	10599	60366	191723	8512	20582	11780	1464	123370	20743	20369	502726	20874	59281	2073196	195541	2301501	699570	12408	1789977	20859	1785186	2123535	9065	2123350	21916	19056	20995	163659	20903	2399699	13855	4174	2432406	199075	197369	19238	18161	2110406	2106507	94773	2107484	12434	2078043	9750	1046175	614856	2099839	294923	2078081	2053819	3259	2114916	2112357	21599	1993265	11862	19439	2115393	2433385	2380634	2118027	773831	31539	2115822	2027327	2377509	2432262	2111179	18590	1896662	2117895	2102164	166609	2068819	16672	2122934	10416	13713	2431607	0	0
D300511:bin_000002	73460	60049	65969	77164	79192	62950	68869	69290	79916	55820	82660	3330547	58825	3210265	32656	66538	3325310	73999	68963	75277	3337078	73960	77303	65875	72102	3336580	31792	62096	60403	77381	3337374	65244	70439	72502	3281945	75863	66024	3322220	72084	62792	66399	69127	3324425	77174	66066	1132160	3324610	80012	83016	74562	67426	3326720	61639	3308412	3331344	68797	3337526	64872	61961	63787	71299	65399	73412	72370	36410	73686	63617	79409	64413	65693	3336385	3337745	76619	3338983	58217	3325460	67230	58481	71273	3326616	54990	3324985	3334402	58732	3337105	3322552	69082	3318668	58828	3325251	3337074	80510	70595	3339642	74834	3326317	3336676	3314094	74603	68133	3336542	73179	3327422	3338260	3334175	77351	3326737	67869	3337186	53257	64543	80068	150	235
D300511:bin_000016	20502	10811	12129	290603	1620858	11889	74923	149649	148354	24954	29988	250350	9040	13169	75339	11991	14313	144993	14966	166867	2653699	13079	149663	77552	13456	2620009	9357	11318	11748	134439	2658210	12114	124946	274808	15582	110274	225844	13907	138314	68287	242480	249312	13707	99989	11235	16089	299724	108914	240644	20543	240546	120377	11055	188688	247736	11357	2661233	8866	224534	12019	223445	11959	239759	124536	80511	268883	220922	131401	10034	283558	2616464	2568372	44018	2610962	11241	241333	97758	227669	170650	257126	230587	203442	2654491	91931	2619264	217030	9805	11775	8633	13981	2656755	206208	249008	2662649	1545598	14334	2660911	234159	179810	171461	2645510	13052	176795	2653688	162979	125286	141198	221446	2651281	7239	11788	223433	0	0
D300514:bin_000003	11405	4426	5752	1995	7522	270	2872	7457	3670	6009	89948	4268	5170	4444	2708	5601	5046	6147	4980	53331	4673	5484	3550	5008	5424	645372	825	5622	5294	2363	5650	4661	3569	2729	6026	4089	2471	5521	3798	300	15375	5093	5666	4847	5290	5877	6056	4513	3822	4974	2361	5289	5119	5128	5376	3427	1255055	4973	6007	5502	12696	5522	45224	3622	2676	20260	7349	19167	3979	5035	6160	12139	6967	12217	3567	5957	3162	10374	4004	6199	2294	9219	10101	2306	4977	6145	4729	8183	4081	5095	11194	34144	2199	28559	7987	5771	1619563	5777	20877	23583	4596	4461	5742	1597197	3695	191193	5720	3288	1615414	4312	3980	35476	0	0
